STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,FIPS,BIOMASS,AVE_PROD,SPR_PROD,SUM_PROD,FALL_PROD,WINT_PROD,AMMON_CON,DAP_CON,CO2_CON,PUMP_EN,PADW_EN,SPAR_EN,DEW_EN,MAX_PT,MIN_PT,AVE_PT,AVE_EVAP,WIN_EVAP,SPR_EVAP,SUM_EVAP,FALL_EVAP,BIOCRUDE,DIESEL,NAPHTHA,TOT_GGE,TOT_MJ,AMMON_REC,DAP_REC,BIOCHAR,CONV_ELEC,CONV_NG,CONV_H2,MBSP,MFSP,BWF_AFDW,BWF_GJ,RESP,ACID,ECOTOX,NON_CARC,CARC,GWP,SMOG,OZONE,EUTRO,FOSSIL,AWARE_CF,WSF_AFDW,WSF_GJ,BARREN,DECID,EVERGREEN,MIXED,SHRUB,GRASS,PASTURE,CULT,AG_BAR,AG_DECID,AG_EV,AG_MIX,AG_SHRUB,AG_GRASS,AG_PAST,AG_CULT,BG_BAR,BG_DECID,BG_EV,BG_MIX,BG_SHRUB,BG_GRASS,BG_PAST,BG_CULT,S_BAR,S_DECID,S_EV,S_MIX,S_SHRUB,S_GRASS,S_PAST,S_CULT,T_BAR,T_DECID,T_EV,T_MIX,T_SHRUb,T_GRASS,T_PAST,T_CULT,NON_A,ARABLE,ALL_LAND,FUEL_NONA,FUEL_A,FUEL_ALL,GWP_NONA,GWP_A,GWP_ALL
06,049,00277289,0500000US06049,06049,Modoc,06,10140841147,745929078,06049,63880.82,8.65,10.38,19.19,4.24,0.75,1426323.07,785608.20,194590.80,13125417.14,40658691.38,7608500.12,1048491.05,37.10,-1.76,13.95,0.25,0.11,0.29,0.43,0.17,17.95,5.26,1.16,6.98,854786554.50,855793.84,471364.92,9848594.58,5946451.84,304548.63,1131649.12,1824.26,19.41,296.40,22.50,0.00,0.00,0.37,0.00,0.00,44.76,0.00,0.00,0.00,0.09,1.33,393.64,29.88,53742.43,9.88,121362.80,0.00,541358.35,241124.30,48236.72,0.00,0.00,3001318.73,3001319.00,0.00,32936.98,34280.58,30069.15,211681.40,0.00,663902.07,845228.50,0.00,119248.44,186983.94,157864.91,-31182.57,518621.60,811962.53,811831.66,0.00,762431.34,794020.33,1255178.39,-519331.40,27871984363.00,44255049.93,565000000000.00,0.00,495000000000.00,245000000000.00,69611012762.00,0.00,523000000000.00,880000000000.00,1400000000000.00,66932124118.21,46196006213.96,113128130332.17,7.81,19.05,12.38
13,257,00350028,0500000US13257,13257,Stephens,06,463948108,13121937,13257,82450.89,11.16,14.21,20.35,7.13,1.91,1835793.57,1011141.52,251158.10,14213239.84,40658691.38,9820281.70,1339443.00,40.81,1.48,19.56,0.20,0.10,0.26,0.27,0.14,23.21,6.80,1.51,9.03,1105566217.92,1101476.14,606684.91,12704210.88,7687680.76,391770.19,1463655.50,1611.53,17.05,177.23,13.57,0.00,0.00,0.26,0.00,0.00,45.57,0.00,0.00,0.00,0.10,0.27,47.31,3.62,0.00,49.42,49.42,59.31,0.00,29.65,444.81,139.50,0.00,5093546.73,5093547.00,5093546.73,0.00,41978.46,41978.46,0.00,0.00,1196257.86,1196257.86,1196257.86,0.00,219884.79,219884.79,0.00,0.00,752133.71,752133.71,752133.71,0.00,752133.71,1361501.30,0.00,0.00,348032801.30,348032801.30,417639361.60,0.00,30068784.10,722082017.20,0.00,0.00,1865855766.00,1865855766.00,0.00,112318652.28,112318652.28,0.00,16.61,16.61
18,127,00450382,0500000US18127,18127,Porter,06,1083011641,268393387,18127,65611.47,8.88,9.54,21.47,3.85,0.26,1425758.58,785297.28,199862.62,11779566.25,40658691.38,7814628.44,1140894.78,38.59,-4.61,14.01,0.16,0.07,0.19,0.25,0.10,18.41,5.39,1.19,7.16,876860803.44,855455.15,471178.37,10119085.97,6101620.28,313430.83,1160873.15,1816.43,19.22,177.38,13.45,0.00,0.00,0.29,0.00,0.00,50.30,0.00,0.00,0.00,0.09,0.42,73.99,5.61,138.38,11288.18,98.85,711.69,1630.95,4349.21,11614.37,0.00,0.00,3001318.73,3001319.00,3001318.73,23465.41,24648.90,23800.32,211681.40,0.00,663902.07,845228.50,754565.28,92728.05,120387.73,114520.39,-31182.57,630565.44,583619.11,619655.61,619655.61,539236.36,567208.27,990446.11,-240359.24,87260190.53,47961684697.00,441465124.90,3114024858.00,1068976359.00,3097704457.00,13109920423.00,0.00,1156236549.00,67724799560.00,68881036109.00,204139972.94,3237728397.94,3441868370.88,5.66,20.92,20.01
21,077,00516885,0500000US21077,21077,Gallatin,06,254698298,16519758,21077,75280.83,10.19,12.28,21.21,5.74,1.07,1664067.96,916556.32,229317.00,13069291.00,40658691.38,8966294.63,1259884.79,40.06,-0.91,17.71,0.17,0.09,0.21,0.25,0.12,21.16,6.20,1.37,8.23,1007984000.47,998440.77,549933.79,11604002.55,7011230.47,358520.80,1334466.72,1677.54,17.75,168.11,12.93,0.00,0.00,0.27,0.00,0.00,47.05,0.00,0.00,0.00,0.10,0.35,59.04,4.54,39.54,168.04,9.88,118.61,0.00,29.65,691.92,0.00,0.00,3001318.73,3001319.00,3001318.73,0.00,35004.37,35004.37,211681.40,0.00,663902.07,845228.50,754565.28,0.00,191988.42,191988.42,-31182.57,864589.73,811962.53,811962.53,811962.53,0.00,811962.53,1469802.54,-644683.21,34184404.54,752335848.90,46047384.42,541814606.10,0.00,30808892.11,1174046927.00,0.00,34184404.54,2545053658.00,2579238063.00,5243943.39,135031542.33,140275485.72,6.52,18.85,18.39
21,053,00516873,0500000US21053,21053,Clinton,06,510864239,21164150,21053,75597.17,10.24,12.24,21.45,5.89,0.98,1669402.37,919494.48,230280.60,13025610.01,40658691.38,9003971.44,1261269.70,39.62,-1.15,17.63,0.17,0.08,0.21,0.25,0.13,21.25,6.22,1.38,8.27,1012302489.19,1001641.42,551696.69,11652487.60,7041146.37,359979.36,1340183.95,1671.06,17.70,164.68,12.67,0.00,0.00,0.27,0.00,0.00,46.86,0.00,0.00,0.00,0.10,0.28,46.59,3.58,19.77,375.61,0.00,128.50,0.00,0.00,1196.03,653.40,0.00,3001318.73,0.00,3001318.73,0.00,0.00,35004.37,211681.40,0.00,663902.07,0.00,754565.28,0.00,0.00,191988.42,-31182.57,864589.73,811962.53,0.00,811962.53,0.00,0.00,1469802.54,-644683.21,17092202.27,1681691897.00,0.00,586965823.30,0.00,0.00,2029423974.00,-303298070.70,17092202.27,3994783624.00,4011875826.00,2633204.96,313487001.47,316120206.43,6.49,12.74,12.69
26,149,01625034,0500000US26149,26149,St. Joseph,06,1296531678,52934828,26149,64158.60,8.69,9.27,21.58,3.51,0.23,1397854.57,769927.96,195436.98,11643826.13,40658691.38,7641585.93,1128819.52,38.80,-4.70,13.64,0.15,0.07,0.19,0.26,0.09,18.00,5.27,1.17,7.00,857145096.11,838712.74,461956.77,9896065.76,5964876.18,306666.97,1134771.59,1830.35,19.41,178.72,13.55,0.00,0.00,0.29,0.00,0.00,50.89,0.00,0.00,0.00,0.09,0.47,84.45,6.40,98.85,12118.49,296.54,434.92,29.65,385.50,1680.38,0.00,0.00,3001318.73,3001319.00,3001318.73,35004.37,35004.37,35004.37,211681.40,0.00,663902.07,845228.50,754565.28,125037.12,191988.42,191988.42,-31182.57,864589.73,811962.53,811962.53,811962.53,811962.53,811962.53,1469802.54,-644683.21,85461011.34,54256691218.00,1381421532.00,1986653556.00,28823536.99,400515597.40,2851256823.00,0.00,114284548.30,60876538727.00,60990823275.00,14492458.38,1682239976.39,1696732434.77,7.89,36.19,35.95
01,085,00161568,0500000US01085,01085,Lowndes,06,1854201994,23721056,01085,87160.63,11.80,16.87,18.94,8.66,3.05,1999954.70,1101560.26,265504.69,15187516.33,40658691.38,10381233.54,1375954.85,42.59,2.15,22.80,0.24,0.13,0.32,0.33,0.16,24.57,7.20,1.59,9.56,1170314001.53,1199972.82,660936.15,13425041.10,8135607.06,413253.78,1549374.88,1531.02,16.23,203.16,15.48,0.00,0.00,0.26,0.00,0.00,45.29,0.00,0.00,0.00,0.10,0.35,71.28,5.43,217.46,9083.92,15548.43,3874.75,3716.60,1018.11,45231.81,0.00,0.00,5093546.73,5093547.00,5093546.73,41978.46,41978.46,41978.46,211681.40,0.00,1196257.86,1196257.86,1196257.86,144564.59,219884.79,219884.79,-31182.57,800883.12,750506.16,746836.00,751043.53,748724.01,745910.18,1358458.37,-597180.24,174160545.20,63953644322.00,109000000000.00,27281547463.00,3476013390.00,1026025348.00,73290080811.00,0.00,3650173935.00,275000000000.00,279000000000.00,605800793.40,11511737186.25,12117537979.65,6.03,23.89,23.02
48,485,01384028,0500000US48485,48485,Wichita,06,1625943380,13820243,48485,81835.67,11.08,14.24,17.75,8.85,3.18,1884687.92,1038072.17,249284.05,15565846.66,40658691.38,9747006.47,1282202.75,43.35,1.02,21.56,0.29,0.18,0.35,0.39,0.22,23.06,6.75,1.50,8.97,1098281563.34,1130812.75,622843.30,12606460.54,7635630.87,388304.65,1454011.37,1597.13,16.87,263.78,19.92,0.00,0.00,0.36,0.00,0.00,45.73,0.00,0.00,0.00,0.10,6.79,1792.18,135.35,5298.13,3242.14,9.88,9.88,24266.63,167326.07,316.31,0.00,0.00,3001318.73,3001319.00,3001318.73,18731.48,18731.48,18731.48,211681.40,0.00,663902.07,845228.50,754565.28,79473.05,79473.05,79473.05,-31182.57,455047.22,427348.70,427348.70,427348.70,427348.70,427348.70,773580.28,-67267.85,2410900109.00,13268684397.00,42245640.57,41349473.33,12753405362.00,87938755998.00,275751088.50,0.00,15164305472.00,102000000000.00,117000000000.00,4272425230.08,24697503256.49,28969928486.57,3.55,4.13,4.04
01,037,00161544,0500000US01037,01037,Coosa,06,1685891146,39946546,01037,87036.26,11.78,16.19,19.75,8.08,2.41,1963892.98,1081697.73,265125.83,15083101.99,40658691.38,10366420.10,1406055.42,41.88,1.10,21.76,0.22,0.11,0.29,0.30,0.15,24.52,7.18,1.59,9.54,1167854106.39,1178335.79,649018.64,13408269.82,8119644.17,413105.94,1546118.23,1550.41,16.40,185.17,14.15,0.00,0.00,0.26,0.00,0.00,44.88,0.00,0.00,0.00,0.10,0.30,56.07,4.28,0.00,1255.34,1364.07,158.15,217.46,306.42,1897.84,0.00,0.00,4698165.07,4108077.00,4439725.48,40076.44,38378.93,39581.12,211681.40,0.00,1095655.19,1030917.94,1058228.93,139238.91,205486.67,210295.42,-31182.57,0.00,763439.94,780313.95,770830.21,768450.66,783013.10,1398729.85,-640724.63,0.00,8231596906.00,8074358886.00,991428248.80,206101791.80,314658011.80,3128788179.00,0.00,206101791.80,20740830232.00,20946932024.00,33416090.45,765532253.85,798948344.30,6.17,27.09,26.22
36,027,00974112,0500000US36027,36027,Dutchess,06,2060693016,76947385,36027,63660.36,8.62,8.86,20.47,3.73,0.44,1385901.26,763344.16,193919.25,11390830.93,40658691.38,7582242.72,1085298.91,38.85,-3.82,13.77,0.15,0.08,0.20,0.24,0.08,17.87,5.23,1.16,6.95,850913436.43,831540.76,458006.50,9817745.76,5920876.77,304036.13,1126521.51,1869.70,19.78,176.13,13.26,0.00,0.00,0.17,0.00,0.00,29.45,0.00,0.00,0.00,0.09,0.27,46.80,3.52,88.96,6434.86,69.19,336.08,128.50,237.23,7284.93,0.00,0.00,3001318.73,3001319.00,3001318.73,35004.37,35004.37,35004.37,211681.40,0.00,663902.07,845228.50,754565.28,125037.12,191988.42,191988.42,-31182.57,864589.73,811962.53,811962.53,811962.53,811962.53,811962.53,1469802.54,-644683.21,76914910.21,28810037507.00,322331690.90,1535141384.00,124901993.60,246471136.90,12361036931.00,0.00,201816903.80,43275018650.00,43476835554.00,24347390.82,1608034493.95,1632381884.78,8.29,26.91,26.63
