STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,FIPS,BIOMASS,AVE_PROD,SPR_PROD,SUM_PROD,FALL_PROD,WINT_PROD,AMMON_CON,DAP_CON,CO2_CON,PUMP_EN,PADW_EN,SPAR_EN,DEW_EN,MAX_PT,MIN_PT,AVE_PT,AVE_EVAP,WIN_EVAP,SPR_EVAP,SUM_EVAP,FALL_EVAP,BIOCRUDE,DIESEL,NAPHTHA,TOT_GGE,TOT_MJ,AMMON_REC,DAP_REC,BIOCHAR,CONV_ELEC,CONV_NG,CONV_H2,MBSP,MFSP,BWF_AFDW,BWF_GJ,RESP,ACID,ECOTOX,NON_CARC,CARC,GWP,SMOG,OZONE,EUTRO,FOSSIL,AWARE_CF,WSF_AFDW,WSF_GJ,BARREN,DECID,EVERGREEN,MIXED,SHRUB,GRASS,PASTURE,CULT,AG_BAR,AG_DECID,AG_EV,AG_MIX,AG_SHRUB,AG_GRASS,AG_PAST,AG_CULT,BG_BAR,BG_DECID,BG_EV,BG_MIX,BG_SHRUB,BG_GRASS,BG_PAST,BG_CULT,S_BAR,S_DECID,S_EV,S_MIX,S_SHRUB,S_GRASS,S_PAST,S_CULT,T_BAR,T_DECID,T_EV,T_MIX,T_SHRUb,T_GRASS,T_PAST,T_CULT,NON_A,ARABLE,ALL_LAND,FUEL_NONA,FUEL_A,FUEL_ALL,GWP_NONA,GWP_A,GWP_ALL,,
06,049,00277289,0500000US06049,06049,Modoc,06,10140841147,745929078,06049,84113.93,11.39,13.79,24.11,6.26,1.37,1904440.64,1097521.45,196701.99,15923373.31,40658691.38,7691047.67,1463961.73,37.10,-1.76,13.95,0.25,0.11,0.29,0.43,0.17,29.43,8.28,1.83,11.00,1346775230.50,1713996.58,987769.31,17647274.26,8655810.82,543277.42,1782991.32,997.33,9.56,226.50,14.39,0.00,0.00,0.24,0.00,0.00,31.16,0.00,0.00,0.00,0.07,1.33,300.81,19.11,53742.43,9.88,121362.80,0.00,541358.35,241124.30,48236.72,0.00,0.00,3001318.73,3001319.00,0.00,32936.98,34280.58,30069.15,211681.40,0.00,663902.07,845228.50,0.00,119248.44,186983.94,157864.91,-31182.57,518621.60,811962.53,811831.66,0.00,762431.34,794020.33,1255178.39,-519331.40,27871984363.00,44255049.93,565000000000.00,0.00,495000000000.00,245000000000.00,69611012762.00,0.00,523000000000.00,880000000000.00,1400000000000.00,105456182496.63,72784997130.99,178241179627.62,4.96,12.09,7.85,,
13,257,00350028,0500000US13257,13257,Stephens,06,463948108,13121937,13257,112896.47,15.29,19.40,25.40,11.25,3.52,2527475.60,1456573.99,264010.48,17937275.95,40658691.38,10322809.66,1924896.98,40.81,1.48,19.56,0.20,0.10,0.26,0.27,0.14,39.55,11.13,2.47,14.78,1809807042.71,2274728.04,1310916.59,23669507.76,11628763.50,728166.23,2395997.62,805.26,7.85,130.83,8.41,0.00,0.00,0.17,0.00,0.00,31.89,0.00,0.00,0.00,0.08,0.27,34.92,2.25,0.00,49.42,49.42,59.31,0.00,29.65,444.81,139.50,0.00,5093546.73,5093547.00,5093546.73,0.00,41978.46,41978.46,0.00,0.00,1196257.86,1196257.86,1196257.86,0.00,219884.79,219884.79,0.00,0.00,752133.71,752133.71,752133.71,0.00,752133.71,1361501.30,0.00,0.00,348032801.30,348032801.30,417639361.60,0.00,30068784.10,722082017.20,0.00,0.00,1865855766.00,1865855766.00,0.00,183865140.44,183865140.44,0.00,10.15,10.15,,
18,127,00450382,0500000US18127,18127,Porter,06,1083011641,268393387,18127,84378.36,11.42,12.36,26.67,5.66,0.50,1870724.91,1078091.21,197320.36,14717990.79,40658691.38,7715226.07,1578090.41,38.59,-4.61,14.01,0.16,0.07,0.19,0.25,0.10,29.50,8.30,1.84,11.02,1350097673.70,1683652.42,970282.09,17709714.79,8678416.36,545412.80,1787389.89,1014.14,9.70,139.33,8.84,0.00,0.00,0.19,0.00,0.00,35.93,0.00,0.00,0.00,0.07,0.42,58.12,3.69,138.38,11288.18,98.85,711.69,1630.95,4349.21,11614.37,0.00,0.00,3001318.73,3001319.00,3001318.73,23465.41,24648.90,23800.32,211681.40,0.00,663902.07,845228.50,754565.28,92728.05,120387.73,114520.39,-31182.57,630565.44,583619.11,619655.61,619655.61,539236.36,567208.27,990446.11,-240359.24,87260190.53,47961684697.00,441465124.90,3114024858.00,1068976359.00,3097704457.00,13109920423.00,0.00,1156236549.00,67724799560.00,68881036109.00,314313174.34,4985112301.71,5299425476.05,3.68,13.59,13.00,,
21,077,00516885,0500000US21077,21077,Gallatin,06,254698298,16519758,21077,100522.86,13.61,16.59,26.25,8.88,1.97,2242575.81,1292387.39,235074.57,16443996.92,40658691.38,9191415.68,1775669.58,40.06,-0.91,17.71,0.17,0.09,0.21,0.25,0.12,35.19,9.90,2.19,13.15,1610167508.16,2018318.23,1163148.65,21084895.25,10347742.53,648951.30,2131695.50,874.97,8.47,127.04,8.19,0.00,0.00,0.17,0.00,0.00,33.04,0.00,0.00,0.00,0.08,0.35,44.62,2.88,39.54,168.04,9.88,118.61,0.00,29.65,691.92,0.00,0.00,3001318.73,3001319.00,3001318.73,0.00,35004.37,35004.37,211681.40,0.00,663902.07,845228.50,754565.28,0.00,191988.42,191988.42,-31182.57,864589.73,811962.53,811962.53,811962.53,0.00,811962.53,1469802.54,-644683.21,34184404.54,752335848.90,46047384.42,541814606.10,0.00,30808892.11,1174046927.00,0.00,34184404.54,2545053658.00,2579238063.00,8376747.31,215701243.20,224077990.51,4.08,11.80,11.51,,
21,053,00516873,0500000US21053,21053,Clinton,06,510864239,21164150,21053,100884.93,13.66,16.46,26.64,9.11,1.80,2247786.17,1295390.10,235921.28,16485291.57,40658691.38,9224521.99,1790917.58,39.62,-1.15,17.63,0.17,0.08,0.21,0.25,0.13,35.31,9.94,2.20,13.19,1616043758.29,2023007.56,1165851.09,21160262.65,10385401.54,651253.12,2139475.05,873.60,8.45,124.71,8.05,0.00,0.00,0.17,0.00,0.00,32.91,0.00,0.00,0.00,0.08,0.28,35.28,2.28,19.77,375.61,0.00,128.50,0.00,0.00,1196.03,653.40,0.00,3001318.73,0.00,3001318.73,0.00,0.00,35004.37,211681.40,0.00,663902.07,0.00,754565.28,0.00,0.00,191988.42,-31182.57,864589.73,811962.53,0.00,811962.53,0.00,0.00,1469802.54,-644683.21,17092202.27,1681691897.00,0.00,586965823.30,0.00,0.00,2029423974.00,-303298070.70,17092202.27,3994783624.00,4011875826.00,4203658.98,500451907.85,504655566.82,4.07,7.98,7.95,,
26,149,01625034,0500000US26149,26149,St. Joseph,06,1296531678,52934828,26149,82022.05,11.11,11.87,26.84,5.13,0.43,1825000.36,1051740.34,191810.09,14538590.62,40658691.38,7499774.42,1549860.90,38.80,-4.70,13.64,0.15,0.07,0.19,0.26,0.09,28.67,8.07,1.79,10.71,1312151388.93,1642500.32,946566.31,17217047.48,8434834.89,530297.23,1737152.93,1032.47,9.86,141.33,8.96,0.00,0.00,0.19,0.00,0.00,36.24,0.00,0.00,0.00,0.07,0.47,66.78,4.24,98.85,12118.49,296.54,434.92,29.65,385.50,1680.38,0.00,0.00,3001318.73,3001319.00,3001318.73,35004.37,35004.37,35004.37,211681.40,0.00,663902.07,845228.50,754565.28,125037.12,191988.42,191988.42,-31182.57,864589.73,811962.53,811962.53,811962.53,811962.53,811962.53,1469802.54,-644683.21,85461011.34,54256691218.00,1381421532.00,1986653556.00,28823536.99,400515597.40,2851256823.00,0.00,114284548.30,60876538727.00,60990823275.00,22185624.68,2575239048.28,2597424672.96,5.15,23.64,23.48,,
01,085,00161568,0500000US01085,01085,Lowndes,06,1854201994,23721056,01085,123485.84,16.72,23.16,24.18,14.13,5.67,2810846.98,1619879.77,288773.92,19206028.47,40658691.38,11291060.24,2022801.84,42.59,2.15,22.80,0.24,0.13,0.32,0.33,0.16,43.29,12.18,2.70,16.17,1980910921.45,2529762.28,1457891.79,25879699.80,12726350.36,795848.77,2622521.49,730.44,7.17,144.81,9.27,0.00,0.00,0.16,0.00,0.00,30.57,0.00,0.00,0.00,0.08,0.35,50.81,3.25,217.46,9083.92,15548.43,3874.75,3716.60,1018.11,45231.81,0.00,0.00,5093546.73,5093547.00,5093546.73,41978.46,41978.46,41978.46,211681.40,0.00,1196257.86,1196257.86,1196257.86,144564.59,219884.79,219884.79,-31182.57,800883.12,750506.16,746836.00,751043.53,748724.01,745910.18,1358458.37,-597180.24,174160545.20,63953644322.00,109000000000.00,27281547463.00,3476013390.00,1026025348.00,73290080811.00,0.00,3650173935.00,275000000000.00,279000000000.00,1025397804.61,19485134662.37,20510532466.98,3.56,14.11,13.60,,
48,485,01384028,0500000US48485,48485,Wichita,06,1625943380,13820243,48485,114883.02,15.55,19.77,22.38,13.83,5.91,2646309.61,1525057.55,268656.07,19412903.31,40658691.38,10504452.39,1890524.00,43.35,1.02,21.56,0.29,0.18,0.35,0.39,0.22,40.27,11.33,2.51,15.04,1842522997.54,2381678.65,1372551.79,24079574.96,11837797.86,740580.36,2439310.17,773.58,7.56,189.48,12.00,0.00,0.00,0.23,0.00,0.00,31.75,0.00,0.00,0.00,0.08,6.79,1287.39,81.53,5298.13,3242.14,9.88,9.88,24266.63,167326.07,316.31,0.00,0.00,3001318.73,3001319.00,3001318.73,18731.48,18731.48,18731.48,211681.40,0.00,663902.07,845228.50,754565.28,79473.05,79473.05,79473.05,-31182.57,455047.22,427348.70,427348.70,427348.70,427348.70,427348.70,773580.28,-67267.85,2410900109.00,13268684397.00,42245640.57,41349473.33,12753405362.00,87938755998.00,275751088.50,0.00,15164305472.00,102000000000.00,117000000000.00,7167598914.93,41433562440.45,48601161355.38,2.12,2.46,2.41,,
01,037,00161544,0500000US01037,01037,Coosa,06,1685891146,39946546,01037,120464.64,16.31,22.11,25.05,12.81,4.52,2726261.86,1571133.70,281708.78,18960922.10,40658691.38,11014813.48,2031016.33,41.88,1.10,21.76,0.22,0.11,0.29,0.30,0.15,42.22,11.88,2.63,15.77,1931751107.27,2453635.67,1414020.33,25251626.32,12411462.29,776694.65,2557438.97,752.30,7.37,135.46,8.69,0.00,0.00,0.16,0.00,0.00,30.93,0.00,0.00,0.00,0.08,0.30,41.01,2.63,0.00,1255.34,1364.07,158.15,217.46,306.42,1897.84,0.00,0.00,4698165.07,4108077.00,4439725.48,40076.44,38378.93,39581.12,211681.40,0.00,1095655.19,1030917.94,1058228.93,139238.91,205486.67,210295.42,-31182.57,0.00,763439.94,780313.95,770830.21,768450.66,783013.10,1398729.85,-640724.63,0.00,8231596906.00,8074358886.00,991428248.80,206101791.80,314658011.80,3128788179.00,0.00,206101791.80,20740830232.00,20946932024.00,55273659.07,1266269280.50,1321542939.56,3.73,16.38,15.85,,
36,027,00974112,0500000US36027,36027,Dutchess,06,2060693016,76947385,36027,82238.20,11.13,11.68,25.26,5.51,0.79,1828472.83,1053741.51,192315.56,14222553.94,40658691.38,7519538.44,1504684.32,38.85,-3.82,13.77,0.15,0.08,0.20,0.24,0.08,28.76,8.09,1.79,10.75,1316037054.27,1645625.55,948367.36,17259107.28,8459221.87,531492.23,1742297.15,1050.18,10.03,137.76,8.67,0.00,0.00,0.10,0.00,0.00,22.73,0.00,0.00,0.00,0.08,0.27,36.60,2.30,88.96,6434.86,69.19,336.08,128.50,237.23,7284.93,0.00,0.00,3001318.73,3001319.00,3001318.73,35004.37,35004.37,35004.37,211681.40,0.00,663902.07,845228.50,754565.28,125037.12,191988.42,191988.42,-31182.57,864589.73,811962.53,811962.53,811962.53,811962.53,811962.53,1469802.54,-644683.21,76914910.21,28810037507.00,322331690.90,1535141384.00,124901993.60,246471136.90,12361036931.00,0.00,201816903.80,43275018650.00,43476835554.00,37656084.78,2487013235.39,2524669320.17,5.36,17.40,17.22,,
