STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,FIPS,BIOMASS,AVE_PROD,SPR_PROD,SUM_PROD,FALL_PROD,WINT_PROD,AMMON_CON,DAP_CON,CO2_CON,MAX_PT,MIN_PT,AVE_PT,AVE_EVAP,WIN_EVAP,SPR_EVAP,SUM_EVAP,FALL_EVAP,DIESEL,JET,NAPHTHA,LNG,PROPANE,TOT_MJ,AMMON_REC,DAP_REC,EX_ELEC,CO2VENT,CHP_MW,CV_ELEC_C,CV_ELEC_P,SUP_NG,CONV_H2,HEXANE,MLSP,MFSP,MFSP_CVO,BWF_AFDW,BWF_GJ,RESP,ACID,ECOTOX,NON_CARC,CARC,GWP,SMOG,OZONE,EUTRO,FOSSIL,AWARE_CF,WSF_AFDW,WSF_GJ,BARREN,DECID,EVERGREEN,MIXED,SHRUB,GRASS,PASTURE,CULT,AG_BAR,AG_DECID,AG_EV,AG_MIX,AG_SHRUB,AG_GRASS,AG_PAST,AG_CULT,BG_BAR,BG_DECID,BG_EV,BG_MIX,BG_SHRUB,BG_GRASS,BG_PAST,BG_CULT,S_BAR,S_DECID,S_EV,S_MIX,S_SHRUB,S_GRASS,S_PAST,S_CULT,T_BAR,T_DECID,T_EV,T_MIX,T_SHRUb,T_GRASS,T_PAST,T_CULT,NON_A,ARABLE,ALL_LAND,FUEL_NONA,FUEL_A,FUEL_ALL,GWP_NONA,GWP_A,GWP_ALL
06,049,00277289,0500000US06049,06049,Modoc,06,10140841147.00,745929078.00,06049,63880.82,8.65,10.38,19.19,4.24,0.75,1426323.07,785608.20,194590.80,37.10,-1.76,13.95,0.25,0.11,0.29,0.43,0.17,1.04,2.32,0.35,0.41,0.32,539669018.47,618284.91,174328.44,0.00,12087.45,4.44,38303456.18,35186238.79,2148784.05,567945.51,73832.92,8.66,29.59,5.28,296.40,35.79,0.00,0.00,0.61,0.00,0.00,94.44,0.00,0.00,0.00,0.15,1.33,393.64,47.53,53742.43,9.88,121362.80,0.00,541358.35,241124.30,48236.72,0.00,0.00,3001318.73,3001319.00,0.00,32936.98,34280.58,30069.15,211681.40,0.00,663902.07,845228.50,0.00,119248.44,186983.94,157864.91,-31182.57,518621.60,811962.53,811831.66,0.00,762431.34,794020.33,1255178.39,-519331.40,27871984363.00,44255049.93,565000000000.00,0.00,495000000000.00,245000000000.00,69611012762.00,0.00,523000000000.00,880000000000.00,1400000000000.00,22924717867.18,15822453313.68,38747171180.86,12.38,30.17,19.60
13,257,00350028,0500000US13257,13257,Stephens,06,463948108.00,13121937.00,13257,82450.89,11.16,14.21,20.35,7.13,1.91,1835793.57,1011141.52,251158.10,40.81,1.48,19.56,0.20,0.10,0.26,0.27,0.14,1.35,2.99,0.46,0.53,0.41,697056032.75,810498.74,228524.07,0.00,15810.26,5.82,49909622.85,46062194.96,2745465.97,733578.97,95365.27,7.65,26.18,5.12,177.23,21.67,0.00,0.00,0.44,0.00,0.00,95.14,0.00,0.00,0.00,0.16,0.27,47.31,5.78,0.00,49.42,49.42,59.31,0.00,29.65,444.81,139.50,0.00,5093546.73,5093547.00,5093546.73,0.00,41978.46,41978.46,0.00,0.00,1196257.86,1196257.86,1196257.86,0.00,219884.79,219884.79,0.00,0.00,752133.71,752133.71,752133.71,0.00,752133.71,1361501.30,0.00,0.00,348032801.30,348032801.30,417639361.60,0.00,30068784.10,722082017.20,0.00,0.00,1865855766.00,1865855766.00,0.00,38417964.95,38417964.95,0.00,26.35,26.35
18,127,00450382,0500000US18127,18127,Porter,06,1083011641.00,268393387.00,18127,65611.47,8.88,9.54,21.47,3.85,0.26,1425758.58,785297.28,199862.62,38.59,-4.61,14.01,0.16,0.07,0.19,0.25,0.10,1.07,2.38,0.36,0.42,0.33,554035456.05,629129.22,177386.05,0.00,12315.96,4.52,39117718.59,35833033.12,2220133.10,583064.69,75798.41,8.58,29.30,5.27,177.38,21.44,0.00,0.00,0.48,0.00,0.00,102.74,0.00,0.00,0.00,0.15,0.42,73.99,8.94,138.38,11288.18,98.85,711.69,1630.95,4349.21,11614.37,0.00,0.00,3001318.73,3001319.00,3001318.73,23465.41,24648.90,23800.32,211681.40,0.00,663902.07,845228.50,754565.28,92728.05,120387.73,114520.39,-31182.57,630565.44,583619.11,619655.61,619655.61,539236.36,567208.27,990446.11,-240359.24,87260190.53,47961684697.00,441465124.90,3114024858.00,1068976359.00,3097704457.00,13109920423.00,0.00,1156236549.00,67724799560.00,68881036109.00,69973674.87,1109805938.44,1179779613.32,8.96,33.11,31.67
21,077,00516885,0500000US21077,21077,Gallatin,06,254698298.00,16519758.00,21077,75280.83,10.19,12.28,21.21,5.74,1.07,1664067.96,916556.32,229317.00,40.06,-0.91,17.71,0.17,0.09,0.21,0.25,0.12,1.23,2.73,0.42,0.48,0.38,636121520.69,732177.47,206441.01,0.00,14304.09,5.26,45273372.62,41649909.16,2524286.20,669451.74,87028.73,7.94,27.18,5.17,168.11,20.63,0.00,0.00,0.45,0.00,0.00,97.23,0.00,0.00,0.00,0.16,0.35,59.04,7.25,39.54,168.04,9.88,118.61,0.00,29.65,691.92,0.00,0.00,3001318.73,3001319.00,3001318.73,0.00,35004.37,35004.37,211681.40,0.00,663902.07,845228.50,754565.28,0.00,191988.42,191988.42,-31182.57,864589.73,811962.53,811962.53,811962.53,0.00,811962.53,1469802.54,-644683.21,34184404.54,752335848.90,46047384.42,541814606.10,0.00,30808892.11,1174046927.00,0.00,34184404.54,2545053658.00,2579238063.00,1795328.79,46229716.31,48025045.10,10.33,29.87,29.14
21,053,00516873,0500000US21053,21053,Clinton,06,510864239.00,21164150.00,21053,75597.17,10.24,12.24,21.45,5.89,0.98,1669402.37,919494.48,230280.60,39.62,-1.15,17.63,0.17,0.08,0.21,0.25,0.13,1.24,2.74,0.42,0.48,0.38,638817623.17,735711.75,207437.51,0.00,14371.88,5.28,45481049.36,41848694.22,2533898.80,672289.10,87397.58,7.92,27.10,5.16,164.68,20.22,0.00,0.00,0.45,0.00,0.00,96.98,0.00,0.00,0.00,0.16,0.28,46.59,5.72,19.77,375.61,0.00,128.50,0.00,0.00,1196.03,653.40,0.00,3001318.73,0.00,3001318.73,0.00,0.00,35004.37,211681.40,0.00,663902.07,0.00,754565.28,0.00,0.00,191988.42,-31182.57,864589.73,811962.53,0.00,811962.53,0.00,0.00,1469802.54,-644683.21,17092202.27,1681691897.00,0.00,586965823.30,0.00,0.00,2029423974.00,-303298070.70,17092202.27,3994783624.00,4011875826.00,901469.01,107321237.63,108222706.64,10.29,20.19,20.11
26,149,01625034,0500000US26149,26149,St. Joseph,06,1296531678.00,52934828.00,26149,64158.60,8.69,9.27,21.58,3.51,0.23,1397854.57,769927.96,195436.98,38.80,-4.70,13.64,0.15,0.07,0.19,0.26,0.09,1.05,2.33,0.35,0.41,0.32,541696339.22,613572.18,172999.66,0.00,12015.99,4.41,38189824.42,34955190.89,2174581.57,570079.05,74110.28,8.66,29.58,5.28,178.72,21.61,0.00,0.00,0.49,0.00,0.00,103.62,0.00,0.00,0.00,0.15,0.47,84.45,10.21,98.85,12118.49,296.54,434.92,29.65,385.50,1680.38,0.00,0.00,3001318.73,3001319.00,3001318.73,35004.37,35004.37,35004.37,211681.40,0.00,663902.07,845228.50,754565.28,125037.12,191988.42,191988.42,-31182.57,864589.73,811962.53,811962.53,811962.53,811962.53,811962.53,1469802.54,-644683.21,85461011.34,54256691218.00,1381421532.00,1986653556.00,28823536.99,400515597.40,2851256823.00,0.00,114284548.30,60876538727.00,60990823275.00,4968705.04,576751992.72,581720697.76,12.48,57.26,56.88
01,085,00161568,0500000US01085,01085,Lowndes,06,1854201994.00,23721056.00,01085,87160.63,11.80,16.87,18.94,8.66,3.05,1999954.70,1101560.26,265504.69,42.59,2.15,22.80,0.24,0.13,0.32,0.33,0.16,1.43,3.16,0.48,0.56,0.44,737217519.85,865483.41,244027.26,0.00,16858.84,6.21,53088663.59,49143966.23,2882769.09,775844.76,100859.82,7.30,25.00,5.06,203.16,24.71,0.00,0.00,0.45,0.00,0.00,93.62,0.00,0.00,0.00,0.15,0.35,71.28,8.67,217.46,9083.92,15548.43,3874.75,3716.60,1018.11,45231.81,0.00,0.00,5093546.73,5093547.00,5093546.73,41978.46,41978.46,41978.46,211681.40,0.00,1196257.86,1196257.86,1196257.86,144564.59,219884.79,219884.79,-31182.57,800883.12,750506.16,746836.00,751043.53,748724.01,745910.18,1358458.37,-597180.24,174160545.20,63953644322.00,109000000000.00,27281547463.00,3476013390.00,1026025348.00,73290080811.00,0.00,3650173935.00,275000000000.00,279000000000.00,207024895.56,3933993178.37,4141018073.93,9.57,37.92,36.55
48,485,01384028,0500000US48485,48485,Wichita,06,1625943380.00,13820243.00,48485,81835.67,11.08,14.24,17.75,8.85,3.18,1884687.92,1038072.17,249284.05,43.35,1.02,21.56,0.29,0.18,0.35,0.39,0.22,1.34,2.97,0.45,0.52,0.41,692065944.31,809709.01,228301.40,0.00,15780.35,5.81,49736010.40,45991278.82,2713180.72,728327.42,94682.57,7.57,25.93,5.11,263.78,31.77,0.00,0.00,0.59,0.00,0.00,96.07,0.00,0.00,0.00,0.16,6.79,1792.18,215.82,5298.13,3242.14,9.88,9.88,24266.63,167326.07,316.31,0.00,0.00,3001318.73,3001319.00,3001318.73,18731.48,18731.48,18731.48,211681.40,0.00,663902.07,845228.50,754565.28,79473.05,79473.05,79473.05,-31182.57,455047.22,427348.70,427348.70,427348.70,427348.70,427348.70,773580.28,-67267.85,2410900109.00,13268684397.00,42245640.57,41349473.33,12753405362.00,87938755998.00,275751088.50,0.00,15164305472.00,102000000000.00,117000000000.00,1460520935.80,8442797386.88,9903318322.68,5.63,6.55,6.41
01,037,00161544,0500000US01037,01037,Coosa,06,1685891146.00,39946546.00,01037,87036.26,11.78,16.19,19.75,8.08,2.41,1963892.98,1081697.73,265125.83,41.88,1.10,21.76,0.22,0.11,0.29,0.30,0.15,1.42,3.16,0.48,0.56,0.44,735990299.08,859955.15,242468.54,0.00,16762.89,6.17,52850550.62,48851170.94,2888266.31,774553.24,100691.92,7.37,25.25,5.07,185.17,22.59,0.00,0.00,0.44,0.00,0.00,93.64,0.00,0.00,0.00,0.15,0.30,56.07,6.84,0.00,1255.34,1364.07,158.15,217.46,306.42,1897.84,0.00,0.00,4698165.07,4108077.00,4439725.48,40076.44,38378.93,39581.12,211681.40,0.00,1095655.19,1030917.94,1058228.93,139238.91,205486.67,210295.42,-31182.57,0.00,763439.94,780313.95,770830.21,768450.66,783013.10,1398729.85,-640724.63,0.00,8231596906.00,8074358886.00,991428248.80,206101791.80,314658011.80,3128788179.00,0.00,206101791.80,20740830232.00,20946932024.00,11424538.26,261725785.66,273150323.92,9.79,42.99,41.60
36,027,00974112,0500000US36027,36027,Dutchess,06,2060693016.00,76947385.00,36027,63660.36,8.62,8.86,20.47,3.73,0.44,1385901.26,763344.16,193919.25,38.85,-3.82,13.77,0.15,0.08,0.20,0.24,0.08,1.04,2.31,0.35,0.41,0.32,537585300.29,611119.67,172308.17,0.00,11961.42,4.39,37980697.17,34803728.08,2152523.93,565752.61,73547.84,8.82,30.11,5.31,176.13,21.15,0.00,0.00,0.30,0.00,0.00,71.85,0.00,0.00,0.00,0.15,0.27,46.80,5.62,88.96,6434.86,69.19,336.08,128.50,237.23,7284.93,0.00,0.00,3001318.73,3001319.00,3001318.73,35004.37,35004.37,35004.37,211681.40,0.00,663902.07,845228.50,754565.28,125037.12,191988.42,191988.42,-31182.57,864589.73,811962.53,811962.53,811962.53,811962.53,811962.53,1469802.54,-644683.21,76914910.21,28810037507.00,322331690.90,1535141384.00,124901993.60,246471136.90,12361036931.00,0.00,201816903.80,43275018650.00,43476835554.00,8344762.95,551133661.85,559478424.80,13.12,42.60,42.16
