STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,FIPS,BIOMASS,AVE_PROD,SPR_PROD,SUM_PROD,FALL_PROD,WINT_PROD,AMMON_CON,DAP_CON,CO2_CON,MAX_PT,MIN_PT,AVE_PT,AVE_EVAP,WIN_EVAP,SPR_EVAP,SUM_EVAP,FALL_EVAP,DIESEL,JET,NAPHTHA,LNG,PROPANE,TOT_MJ,AMMON_REC,DAP_REC,EX_ELEC,CO2VENT,CHP_MW,CV_ELEC_C,CV_ELEC_P,SUP_NG,CONV_H2,HEXANE,MLSP,MFSP,MFSP_CVO,BWF_AFDW,BWF_GJ,RESP,ACID,ECOTOX,NON_CARC,CARC,GWP,SMOG,OZONE,EUTRO,FOSSIL,AWARE_CF,WSF_AFDW,WSF_GJ,BARREN,DECID,EVERGREEN,MIXED,SHRUB,GRASS,PASTURE,CULT,AG_BAR,AG_DECID,AG_EV,AG_MIX,AG_SHRUB,AG_GRASS,AG_PAST,AG_CULT,BG_BAR,BG_DECID,BG_EV,BG_MIX,BG_SHRUB,BG_GRASS,BG_PAST,BG_CULT,S_BAR,S_DECID,S_EV,S_MIX,S_SHRUB,S_GRASS,S_PAST,S_CULT,T_BAR,T_DECID,T_EV,T_MIX,T_SHRUb,T_GRASS,T_PAST,T_CULT,NON_A,ARABLE,ALL_LAND,FUEL_NONA,FUEL_A,FUEL_ALL,GWP_NONA,GWP_A,GWP_ALL
06,049,00277289,0500000US06049,06049,Modoc,06,10140841147,745929078,06049,84113.93,11.39,13.79,24.11,6.26,1.37,1904440.64,1097521.45,196701.99,37.10,-1.76,13.95,0.25,0.11,0.29,0.43,0.17,2.28,5.05,0.77,0.89,0.70,1177002135.19,556296.91,160415.41,0.00,13683.63,4.71,42322978.32,37333017.04,6609484.96,1238672.32,161027.40,2.93,10.67,4.31,226.50,16.66,0.00,0.00,0.36,0.00,0.00,56.66,0.00,0.00,0.00,0.13,1.33,300.81,22.12,53742.43,9.88,121362.80,0.00,541358.35,241124.30,48236.72,0.00,0.00,3001318.73,3001319.00,0.00,32936.98,34280.58,30069.15,211681.40,0.00,663902.07,845228.50,0.00,119248.44,186983.94,157864.91,-31182.57,518621.60,811962.53,811831.66,0.00,762431.34,794020.33,1255178.39,-519331.40,27871984363.00,44255049.93,565000000000.00,0.00,495000000000.00,245000000000.00,69611012762.00,0.00,523000000000.00,880000000000.00,1400000000000.00,49998131613.39,34508302689.15,84506434302.53,5.67,13.83,8.99
13,257,00350028,0500000US13257,13257,Stephens,06,463948108,13121937,13257,112896.47,15.29,19.40,25.40,11.25,3.52,2527475.60,1456573.99,264010.48,40.81,1.48,19.56,0.20,0.10,0.26,0.27,0.14,3.06,6.78,1.03,1.20,0.94,1580524663.40,755393.01,217827.35,0.00,18531.44,6.39,57076793.35,50618743.11,8851734.71,1663337.81,216233.92,2.41,8.87,4.21,130.83,9.81,0.00,0.00,0.27,0.00,0.00,56.94,0.00,0.00,0.00,0.13,0.27,34.92,2.62,0.00,49.42,49.42,59.31,0.00,29.65,444.81,139.50,0.00,5093546.73,5093547.00,5093546.73,0.00,41978.46,41978.46,0.00,0.00,1196257.86,1196257.86,1196257.86,0.00,219884.79,219884.79,0.00,0.00,752133.71,752133.71,752133.71,0.00,752133.71,1361501.30,0.00,0.00,348032801.30,348032801.30,417639361.60,0.00,30068784.10,722082017.20,0.00,0.00,1865855766.00,1865855766.00,0.00,87109984.67,87109984.67,0.00,11.62,11.62
18,127,00450382,0500000US18127,18127,Porter,06,1083011641,268393387,18127,84378.36,11.42,12.36,26.67,5.66,0.50,1870724.91,1078091.21,197320.36,38.59,-4.61,14.01,0.16,0.07,0.19,0.25,0.10,2.29,5.07,0.77,0.90,0.70,1180389636.12,554407.76,159870.65,0.00,13657.78,4.70,42343102.01,37237704.98,6638402.12,1242237.32,161490.85,2.98,10.82,4.31,139.33,10.30,0.00,0.00,0.30,0.00,0.00,61.97,0.00,0.00,0.00,0.13,0.42,58.12,4.30,138.38,11288.18,98.85,711.69,1630.95,4349.21,11614.37,0.00,0.00,3001318.73,3001319.00,3001318.73,23465.41,24648.90,23800.32,211681.40,0.00,663902.07,845228.50,754565.28,92728.05,120387.73,114520.39,-31182.57,630565.44,583619.11,619655.61,619655.61,539236.36,567208.27,990446.11,-240359.24,87260190.53,47961684697.00,441465124.90,3114024858.00,1068976359.00,3097704457.00,13109920423.00,0.00,1156236549.00,67724799560.00,68881036109.00,149081088.32,2364476032.26,2513557120.58,4.21,15.54,14.87
21,077,00516885,0500000US21077,21077,Gallatin,06,254698298,16519758,21077,100522.86,13.61,16.59,26.25,8.88,1.97,2242575.81,1292387.39,235074.57,40.06,-0.91,17.71,0.17,0.09,0.21,0.25,0.12,2.72,6.04,0.92,1.07,0.83,1406835976.91,667467.39,192472.86,0.00,16403.15,5.65,50661419.91,44770720.67,7892916.66,1480548.54,192471.31,2.60,9.52,4.24,127.04,9.56,0.00,0.00,0.28,0.00,0.00,58.45,0.00,0.00,0.00,0.13,0.35,44.62,3.36,39.54,168.04,9.88,118.61,0.00,29.65,691.92,0.00,0.00,3001318.73,3001319.00,3001318.73,0.00,35004.37,35004.37,211681.40,0.00,663902.07,845228.50,754565.28,0.00,191988.42,191988.42,-31182.57,864589.73,811962.53,811962.53,811962.53,0.00,811962.53,1469802.54,-644683.21,34184404.54,752335848.90,46047384.42,541814606.10,0.00,30808892.11,1174046927.00,0.00,34184404.54,2545053658.00,2579238063.00,3970519.85,102240886.21,106211406.07,4.67,13.50,13.17
21,053,00516873,0500000US21053,21053,Clinton,06,510864239,21164150,21053,100884.93,13.66,16.46,26.64,9.11,1.80,2247786.17,1295390.10,235921.28,39.62,-1.15,17.63,0.17,0.08,0.21,0.25,0.13,2.73,6.06,0.92,1.07,0.84,1411942518.48,670183.79,193256.17,0.00,16468.17,5.68,50853821.16,44950274.32,7920734.64,1485922.64,193169.94,2.59,9.50,4.24,124.71,9.40,0.00,0.00,0.28,0.00,0.00,58.26,0.00,0.00,0.00,0.13,0.28,35.28,2.66,19.77,375.61,0.00,128.50,0.00,0.00,1196.03,653.40,0.00,3001318.73,0.00,3001318.73,0.00,0.00,35004.37,211681.40,0.00,663902.07,0.00,754565.28,0.00,0.00,191988.42,-31182.57,864589.73,811962.53,0.00,811962.53,0.00,0.00,1469802.54,-644683.21,17092202.27,1681691897.00,0.00,586965823.30,0.00,0.00,2029423974.00,-303298070.70,17092202.27,3994783624.00,4011875826.00,1992466.03,237206070.27,239198536.30,4.65,9.14,9.10
26,149,01625034,0500000US26149,26149,St. Joseph,06,1296531678,52934828,26149,82022.05,11.11,11.87,26.84,5.13,0.43,1825000.36,1051740.34,191810.09,38.80,-4.70,13.64,0.15,0.07,0.19,0.26,0.09,2.22,4.92,0.75,0.87,0.68,1147355928.99,537956.66,155126.76,0.00,13258.07,4.56,41130855.62,36141231.24,6455276.39,1207472.78,156971.46,3.03,10.99,4.32,141.33,10.45,0.00,0.00,0.30,0.00,0.00,62.30,0.00,0.00,0.00,0.13,0.47,66.78,4.94,98.85,12118.49,296.54,434.92,29.65,385.50,1680.38,0.00,0.00,3001318.73,3001319.00,3001318.73,35004.37,35004.37,35004.37,211681.40,0.00,663902.07,845228.50,754565.28,125037.12,191988.42,191988.42,-31182.57,864589.73,811962.53,811962.53,811962.53,811962.53,811962.53,1469802.54,-644683.21,85461011.34,54256691218.00,1381421532.00,1986653556.00,28823536.99,400515597.40,2851256823.00,0.00,114284548.30,60876538727.00,60990823275.00,10524112.74,1221606624.24,1232130736.98,5.89,27.03,26.85
01,085,00161568,0500000US01085,01085,Lowndes,06,1854201994,23721056,01085,123485.84,16.72,23.16,24.18,14.13,5.67,2810846.98,1619879.77,288773.92,42.59,2.15,22.80,0.24,0.13,0.32,0.33,0.16,3.35,7.42,1.13,1.31,1.02,1729213574.19,831620.75,239808.60,0.00,20371.28,7.03,62596594.50,55680605.37,9669834.01,1819817.43,236576.27,2.20,8.16,4.16,144.81,10.80,0.00,0.00,0.27,0.00,0.00,55.29,0.00,0.00,0.00,0.13,0.35,50.81,3.79,217.46,9083.92,15548.43,3874.75,3716.60,1018.11,45231.81,0.00,0.00,5093546.73,5093547.00,5093546.73,41978.46,41978.46,41978.46,211681.40,0.00,1196257.86,1196257.86,1196257.86,144564.59,219884.79,219884.79,-31182.57,800883.12,750506.16,746836.00,751043.53,748724.01,745910.18,1358458.37,-597180.24,174160545.20,63953644322.00,109000000000.00,27281547463.00,3476013390.00,1026025348.00,73290080811.00,0.00,3650173935.00,275000000000.00,279000000000.00,485596504.94,9227553684.85,9713150189.79,4.08,16.17,15.58
48,485,01384028,0500000US48485,48485,Wichita,06,1625943380,13820243,48485,114883.02,15.55,19.77,22.38,13.83,5.91,2646309.61,1525057.55,268656.07,43.35,1.02,21.56,0.29,0.18,0.35,0.39,0.22,3.11,6.90,1.05,1.22,0.95,1608628589.98,772161.49,222662.75,0.00,18923.32,6.53,58188891.14,51712636.81,8999672.43,1692914.27,220078.86,2.32,8.57,4.19,189.48,13.93,0.00,0.00,0.34,0.00,0.00,57.01,0.00,0.00,0.00,0.13,6.79,1287.39,94.67,5298.13,3242.14,9.88,9.88,24266.63,167326.07,316.31,0.00,0.00,3001318.73,3001319.00,3001318.73,18731.48,18731.48,18731.48,211681.40,0.00,663902.07,845228.50,754565.28,79473.05,79473.05,79473.05,-31182.57,455047.22,427348.70,427348.70,427348.70,427348.70,427348.70,773580.28,-67267.85,2410900109.00,13268684397.00,42245640.57,41349473.33,12753405362.00,87938755998.00,275751088.50,0.00,15164305472.00,102000000000.00,117000000000.00,3394814789.24,19624322205.13,23019136994.37,2.42,2.82,2.76
01,037,00161544,0500000US01037,01037,Coosa,06,1685891146,39946546,01037,120464.64,16.31,22.11,25.05,12.81,4.52,2726261.86,1571133.70,281708.78,41.88,1.10,21.76,0.22,0.11,0.29,0.30,0.15,3.27,7.24,1.10,1.28,1.00,1686682781.49,808512.17,233144.94,0.00,19820.65,6.84,60979802.34,54156991.82,9439521.23,1775058.19,230757.57,2.26,8.37,4.17,135.46,10.14,0.00,0.00,0.27,0.00,0.00,55.77,0.00,0.00,0.00,0.13,0.30,41.01,3.07,0.00,1255.34,1364.07,158.15,217.46,306.42,1897.84,0.00,0.00,4698165.07,4108077.00,4439725.48,40076.44,38378.93,39581.12,211681.40,0.00,1095655.19,1030917.94,1058228.93,139238.91,205486.67,210295.42,-31182.57,0.00,763439.94,780313.95,770830.21,768450.66,783013.10,1398729.85,-640724.63,0.00,8231596906.00,8074358886.00,991428248.80,206101791.80,314658011.80,3128788179.00,0.00,206101791.80,20740830232.00,20946932024.00,26181828.03,599801878.57,625983706.60,4.27,18.76,18.15
36,027,00974112,0500000US36027,36027,Dutchess,06,2060693016,76947385,36027,82238.20,11.13,11.68,25.26,5.51,0.79,1828472.83,1053741.51,192315.56,38.85,-3.82,13.77,0.15,0.08,0.20,0.24,0.08,2.23,4.94,0.75,0.87,0.68,1150521451.64,541077.08,156026.57,0.00,13325.23,4.59,41292083.94,36336000.74,6468447.58,1210804.16,157404.54,3.08,11.16,4.33,137.76,10.12,0.00,0.00,0.20,0.00,0.00,48.42,0.00,0.00,0.00,0.13,0.27,36.60,2.69,88.96,6434.86,69.19,336.08,128.50,237.23,7284.93,0.00,0.00,3001318.73,3001319.00,3001318.73,35004.37,35004.37,35004.37,211681.40,0.00,663902.07,845228.50,754565.28,125037.12,191988.42,191988.42,-31182.57,864589.73,811962.53,811962.53,811962.53,811962.53,811962.53,1469802.54,-644683.21,76914910.21,28810037507.00,322331690.90,1535141384.00,124901993.60,246471136.90,12361036931.00,0.00,201816903.80,43275018650.00,43476835554.00,17859172.88,1179517190.76,1197376363.64,6.13,19.90,19.70
